slug,action,target
copilot-vs-chatgpt,redirect_to,chatgpt-vs-copilot
macbook-air-vs-dell-xps-13,redirect_to,dell-xps-13-vs-macbook-air
microsoft-teams-vs-slack,redirect_to,slack-vs-microsoft-teams
netflix-vs-disney,redirect_to,disney-vs-netflix
notion-vs-clickup,redirect_to,clickup-vs-notion
peacock-vs-hulu,redirect_to,hulu-vs-peacock
samsung-galaxy-vs-google-pixel,redirect_to,google-pixel-vs-samsung-galaxy
shein-vs-amazon-haul,redirect_to,amazon-haul-vs-shein
spotify-vs-apple-music,redirect_to,apple-music-vs-spotify
uber-vs-lyft,redirect_to,lyft-vs-uber
wix-vs-squarespace,redirect_to,squarespace-vs-wix
